,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,classification
43,-80,-80,100,100,-80,-57,100,100,100,100,100,100,-81,-86,-97,100,-90,100,100,100,100,100,100,100,-61,35
44,-84,-76,100,100,-75,-62,100,100,100,100,100,100,-75,-95,-91,100,-78,100,100,100,100,100,100,100,-59,35
45,-80,-80,100,100,-80,-57,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,35
46,-84,-76,100,100,-75,-62,100,100,100,100,100,100,-75,100,100,100,-77,100,100,100,100,100,100,100,-61,35
47,-88,-75,100,100,-88,-64,100,100,100,100,100,100,-76,-85,-91,100,-81,100,100,100,100,100,100,100,-60,35
48,-80,-80,100,100,-80,-57,100,100,100,100,100,100,100,100,-98,100,-92,100,100,100,100,100,100,100,-61,35
49,100,100,100,100,100,-64,100,100,100,100,100,100,-76,-86,100,100,100,100,100,100,100,100,100,100,-60,35
50,-80,-80,100,100,-80,-57,100,100,-93,100,100,100,-81,-85,100,100,100,100,100,100,100,100,100,100,-61,35
51,-84,-80,100,100,-75,-61,100,100,-92,100,100,100,-75,100,100,100,-78,100,100,100,100,100,100,100,-59,35
52,-89,-75,100,100,-88,-64,100,100,100,100,100,100,-77,-85,100,100,-81,100,100,100,100,100,100,100,-60,35
53,-88,-76,100,100,-74,-62,100,100,100,100,100,100,-75,100,-92,100,-81,100,100,100,100,100,100,100,-59,35
54,-84,-76,100,100,-88,-64,100,100,100,100,100,100,-77,-93,-91,100,-77,100,100,100,100,100,100,100,-60,35
55,-80,-80,100,100,-81,-57,100,100,-92,100,100,100,-81,100,-96,100,100,100,100,100,100,100,100,100,-60,35
56,-84,-76,100,100,-74,-62,100,100,100,100,100,100,-75,-94,-92,100,-77,100,100,100,100,100,100,100,-59,35
57,-84,100,100,100,-80,-61,100,100,100,100,100,100,-81,100,100,100,-78,100,100,100,100,100,100,100,-59,35
58,-84,-76,100,100,-74,-61,100,100,100,100,100,100,-75,-93,-91,100,-91,100,100,100,100,100,100,100,-59,35
59,-83,-74,100,100,-90,-64,100,100,100,100,100,100,-77,-94,100,100,-81,100,100,100,100,100,100,100,-60,35
1,-93,-68,100,100,100,-70,100,100,-88,100,100,100,-79,-85,-87,100,-77,-89,100,100,100,100,100,100,-65,35
2,-80,-69,100,100,100,-70,100,100,100,100,100,100,-79,-80,-88,100,-87,-87,100,100,100,100,100,100,-66,35
3,-88,-67,100,100,100,-69,100,100,100,100,100,100,-85,-78,-88,100,-79,-86,100,100,100,100,100,100,-66,35
4,-87,-68,100,100,-89,-71,100,100,-91,100,100,100,-85,-89,-87,100,-77,-86,100,100,100,100,100,100,-58,35
5,-80,-68,100,100,-89,-72,100,100,100,100,100,100,-80,-78,-87,100,-77,-86,100,100,100,100,100,100,-62,35
6,-88,-74,100,100,-89,-70,100,100,-91,100,100,100,-85,100,-87,100,-78,-86,100,100,100,100,100,100,-66,35
