index,time,rvX,rvY,rvZ,rvW,gacX,gacY,gacZ,lacX,lacY,lacZ
193,2022-11-19-14:27:45:885,0.06264832,-0.11354752,-0.79287773,0.59542173,-0.1692829,2.3391352,9.522089,-1.5447397,-0.15343904,2.6727543
194,2022-11-19-14:27:45:895,0.06426054,-0.11449056,-0.7927732,0.5952086,-0.1692829,2.3391352,9.522089,-1.5447397,-0.15343904,2.6727543
195,2022-11-19-14:27:45:906,0.06442175,-0.11458484,-0.7927626,0.5951872,-0.19248176,2.410945,9.503719,-1.1929251,-0.42003083,1.9234457
196,2022-11-19-14:27:45:916,0.06442175,-0.11458484,-0.7927626,0.5951872,-0.21307185,2.4931633,9.482042,-0.87980497,-0.9684657,0.54525375
197,2022-11-19-14:27:45:927,0.06702234,-0.116130814,-0.7928868,0.5944344,-0.21307185,2.4931633,9.482042,-0.87980497,-0.9684657,0.54525375
198,2022-11-19-14:27:45:938,0.06702234,-0.116130814,-0.7928868,0.5944344,-0.21307185,2.5542953,9.465108,-0.87980497,-0.9684657,0.54525375
199,2022-11-19-14:27:45:949,0.067425296,-0.11633593,-0.7928943,0.5943388,-0.2402152,2.5542953,9.465108,-0.57208323,-1.5976744,0.061135292
200,2022-11-19-14:27:45:959,0.07184967,-0.12231454,-0.79213935,0.5936263,-0.2402152,2.5542953,9.465108,-0.57208323,-1.5976744,0.061135292
201,2022-11-19-14:27:45:970,0.07184967,-0.12231454,-0.79213935,0.5936263,-0.25768155,2.5887063,9.455295,-0.25268683,-2.0435102,-0.24849796
202,2022-11-19-14:27:45:980,0.074847475,-0.12528574,-0.79197603,0.59285355,-0.25616458,2.5999897,9.452239,-0.06278852,-2.1155,-0.761261
203,2022-11-19-14:27:45:990,0.074847475,-0.12528574,-0.79197603,0.59285355,-0.25616458,2.5999897,9.452239,-0.06278852,-2.1155,-0.761261
204,2022-11-19-14:27:46:002,0.074847475,-0.12528574,-0.79197603,0.59285355,-0.23699582,2.587165,9.456256,-0.11833061,-1.875283,-1.1193724
205,2022-11-19-14:27:46:012,0.07706384,-0.12496139,-0.79149497,0.59328043,-0.23699582,2.587165,9.456256,-0.11833061,-1.875283,-1.1193724
206,2022-11-19-14:27:46:023,0.077282734,-0.12492622,-0.79144675,0.5933236,-0.21508028,2.5511768,9.466554,-0.10716078,-1.5709678,-1.1797829
207,2022-11-19-14:27:46:031,0.077282734,-0.12492622,-0.79144675,0.5933236,-0.21508028,2.5511768,9.466554,-0.10716078,-1.5709678,-1.1797829
208,2022-11-19-14:27:46:043,0.08198509,-0.12753108,-0.7912803,0.59235954,-0.19953991,2.4947548,9.481917,0.042237163,-1.277423,-1.071353
209,2022-11-19-14:27:46:054,0.08245301,-0.12779172,-0.7912628,0.59226173,-0.19953991,2.4947548,9.481917,0.042237163,-1.277423,-1.071353
210,2022-11-19-14:27:46:063,0.08245301,-0.12779172,-0.7912628,0.59226173,-0.18221241,2.43038,9.49897,0.106023856,-0.9064715,-1.165822
211,2022-11-19-14:27:46:074,0.082499795,-0.12781778,-0.7912611,0.5922519,-0.18221241,2.43038,9.49897,0.106023856,-0.9064715,-1.165822
212,2022-11-19-14:27:46:085,0.082499795,-0.12781778,-0.7912611,0.5922519,-0.1524936,2.371659,9.514325,0.059110247,-0.5626432,-1.4516296
213,2022-11-19-14:27:46:095,0.08840915,-0.13290417,-0.78950036,0.5926295,-0.1524936,2.371659,9.514325,0.059110247,-0.5626432,-1.4516296
214,2022-11-19-14:27:46:105,0.08899977,-0.13341233,-0.7893214,0.59266514,-0.11610971,2.3192143,9.527757,0.048616834,-0.37344348,-1.7510457
215,2022-11-19-14:27:46:116,0.08899977,-0.13341233,-0.7893214,0.59266514,-0.11610971,2.3192143,9.527757,0.048616834,-0.37344348,-1.7510457
216,2022-11-19-14:27:46:127,0.08921365,-0.0940297,-0.7927925,0.5955498,-0.09325783,2.2652526,9.54098,0.05422637,-0.45834672,-1.6410942
217,2022-11-19-14:27:46:137,0.08921365,-0.0940297,-0.7927925,0.5955498,-0.09325783,2.2652526,9.54098,0.05422637,-0.45834672,-1.6410942
218,2022-11-19-14:27:46:147,0.08967135,-0.09392486,-0.79258263,0.59577674,-0.08701344,2.2101116,9.553964,-0.09823492,-0.46091735,-1.4670458
219,2022-11-19-14:27:46:158,0.08971711,-0.093914375,-0.79256165,0.59579945,-0.08701344,2.2101116,9.553964,-0.09823492,-0.46091735,-1.4670458
220,2022-11-19-14:27:46:169,0.08971711,-0.093914375,-0.79256165,0.59579945,-0.07993411,2.159006,9.565704,-0.1748788,-0.33844054,-1.3665934
